"Flight Operator","Flight Number","Price on Cleartrip","Price On Paytm"
"IndiGo","6E-486","6875","No Data Found"
"IndiGo","6E-6067","7167","No Data Found"
"IndiGo","6E-6875","7167","No Data Found"
"IndiGo","6E-6423","7167","No Data Found"
"IndiGo","6E-6017","7167","No Data Found"
"Air India Express","IX-1324","7617","No Data Found"
"Air India Express","IX-1428","7617","No Data Found"
"IndiGo","6E-2335","7756","No Data Found"
"Air India","AI-503","7836","No Data Found"
"Air India","AI-808","7845","No Data Found"
"IndiGo","6E-7701","7849","No Data Found"
"Vistara","UK-864","7871","No Data Found"
"Vistara","UK-864","7871","No Data Found"
"IndiGo","6E-6876","7887","No Data Found"
"Air India","AI-509","7972","No Data Found"
"Air India","AI-583","8029","No Data Found"
"Air India","AI-583","8029","No Data Found"
"Air India","AI-583","8029","No Data Found"
"Air India","AI-583","8029","No Data Found"
"Air India","AI-583","8029","No Data Found"
"Vistara","UK-816","8162","No Data Found"
